Suite de Pruebas,Caso de Prueba,Prioridad,Build Version 2,Asignado a,Fecha,Testeado por,Notas,Duración de la ejecución (min),Última Build Version 2,Exec Notes for Latest (created) Build,Última Ejecución,Notas (última ejec.)
Módulo Cliente,CP-28\:Dar de alta un cliente con datos de entrada válidos,Media,Pasado [v1],Equipo QA,2023-09-20 22:47:40,Equipo QA,, ,Pasado [v1],,,
Módulo Cliente,CP-29\:Cancelar el alta de un nuevo cliente,Media,Pasado [v1],Equipo QA,2023-09-20 22:52:36,Equipo QA,, ,Pasado [v1],,,
Módulo Cliente,CP-30\:Ingresar en el campo nombre una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-20 23:08:27,Equipo QA,Aún en los casos en los que no se completa el registro continúa sin indicar al usuario la cantidad de caracteres entre los que debe estar comprendido el dato que debe ingresar para que sea válido.,,Fallado [v1],Aún en los casos en los que no se completa el registro continúa sin indicar al usuario la cantidad de caracteres entre los que debe estar comprendido el dato que debe ingresar para que sea válido.,Fallado [v1],Aún en los casos en los que no se completa el registro continúa sin indicar al usuario la cantidad de caracteres entre los que debe estar comprendido el dato que debe ingresar para que sea válido.
Módulo Cliente,CP-31\:Ingresar en el campo apellido una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-21 12:30:31,Equipo QA,, ,Fallado [v1],,,
Módulo Cliente,CP-32\:Ingresar en el campo Cédula una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-21 13:55:47,Equipo QA,El sistema sigue aceptando entradas inválidas en el campo Cédula; permitiendo el registro de un cliente con una cédula inválida sin proporcionar al usuario la indicación del formato correcto que debe ingresar.,5,Fallado [v1],El sistema sigue aceptando entradas inválidas en el campo Cédula; permitiendo el registro de un cliente con una cédula inválida sin proporcionar al usuario la indicación del formato correcto que debe ingresar.,Fallado [v1],El sistema sigue aceptando entradas inválidas en el campo Cédula; permitiendo el registro de un cliente con una cédula inválida sin proporcionar al usuario la indicación del formato correcto que debe ingresar.
Módulo Cliente,CP-57\:Dar de alta a un cliente con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-21 01:40:02,Equipo QA,, ,Pasado [v1],,,
Módulo Cliente,CP-62\:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,Fallado [v1],Equipo QA,2023-09-21 14:02:08,Equipo QA,La verificación de escritura en los primeros tres pasos pasa pero en el último paso se visualiza en la parte superior de la ventana del mensaje una palabra en español: Cliente seguida de una en inglés: Cancelation; derivando en un error lingüístico así que se marca como fallado.,5,Fallado [v1],La verificación de escritura en los primeros tres pasos pasa pero en el último paso se visualiza en la parte superior de la ventana del mensaje una palabra en español: Cliente seguida de una en inglés: Cancelation; derivando en un error lingüístico así que se marca como fallado.,Fallado [v1],La verificación de escritura en los primeros tres pasos pasa pero en el último paso se visualiza en la parte superior de la ventana del mensaje una palabra en español: Cliente seguida de una en inglés: Cancelation; derivando en un error lingüístico así que se marca como fallado.
Módulo Mascota/Nueva Mascota,CP-33\:Dar de alta una mascota con datos de entrada válidos,Media,Pasado [v1],Equipo QA,2023-09-21 14:14:16,Equipo QA,2,,Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-34\:Ingresar en el campo Nro Patente una entrada no válida.,Media,Fallado [v1],Equipo QA,2023-09-22 14:05:24,Equipo QA,El registro no se completa y se despliega un mensaje informando que el formato de los datos ingresados es incorrecto; sin embargo no indica al usuario cuales son los datos incorrectos ni el formato que debe ingresar para que sea válido.,5,Fallado [v1],El registro no se completa y se despliega un mensaje informando que el formato de los datos ingresados es incorrecto; sin embargo no indica al usuario cuales son los datos incorrectos ni el formato que debe ingresar para que sea válido.,Fallado [v1],El registro no se completa y se despliega un mensaje informando que el formato de los datos ingresados es incorrecto; sin embargo no indica al usuario cuales son los datos incorrectos ni el formato que debe ingresar para que sea válido.
Módulo Mascota/Nueva Mascota,CP-35\:Ingresar en el campo Nombre una entrada no válida,Media,Fallado [v1],Equipo QA,2023-09-21 14:40:12,Equipo QA,5,,Fallado [v1],,,
